s_e esize chi2ndf_e s_m msize chi2ndf_m log10_NeNm_0_300 log10_NeNm_100_300 log10_NeNm_50_450 log10_NeNm_50_600 log10_NeNm_20_600 log10_NeNm_300_600 log10_NeNm_0_600 e_mean_0_300 e_var_0_300 e_skew_0_300 e_kurt_0_300 m_mean_0_300 m_var_0_300 m_skew_0_300 m_kurt_0_300 e_mean_100_300 e_var_100_300 e_skew_100_300 e_kurt_100_300 m_mean_100_300 m_var_100_300 m_skew_100_300 m_kurt_100_300 e_mean_50_450 e_var_50_450 e_skew_50_450 e_kurt_50_450 m_mean_50_450 m_var_50_450 m_skew_50_450 m_kurt_50_450 e_mean_50_600 e_var_50_600 e_skew_50_600 e_kurt_50_600 m_mean_50_600 m_var_50_600 m_skew_50_600 m_kurt_50_600 e_mean_20_600 e_var_20_600 e_skew_20_600 e_kurt_20_600 m_mean_20_600 m_var_20_600 m_skew_20_600 m_kurt_20_600 e_mean_300_600 e_var_300_600 e_skew_300_600 e_kurt_300_600 m_mean_300_600 m_var_300_600 m_skew_300_600 m_kurt_300_600 e_mean_0_600 e_var_0_600 e_skew_0_600 e_kurt_0_600 m_mean_0_600 m_var_0_600 m_skew_0_600 m_kurt_0_600
1.30714 16866.5 23.8116 1.38138 1040.33 1.16916 1.42781 1.21012 1.23866 1.20959 1.2714 1.09568 1.32969 97.0048 6847.01 0.797844 -0.528817 146.301 6920.84 0.196906 -1.12215 185.158 3291.51 0.302522 -1.07345 194.4 3537.75 0.20904 -1.30443 196.775 12963.3 0.557626 -0.877112 226.524 12995.7 0.251533 -1.14762 238.961 23349.3 0.64965 -0.724929 281.293 24000.9 0.331314 -1.06015 197.433 25473.5 0.818398 -0.469821 261.872 26452.8 0.353821 -1.04252 431.121 7166.15 0.270791 -1.07677 438.843 7097.72 0.202782 -1.09886 170.756 26120.6 0.953809 -0.214344 256.979 27139.4 0.35405 -1.03519
1.43661 16969.9 3.87178 1.37917 1033.4 0.817064 1.1789 1.10101 1.0988 1.08502 1.11126 0.992353 1.11744 126.441 6499.87 0.454011 -0.924967 144.823 6559.96 0.178765 -1.11124 186.834 3316.15 0.2791 -1.11936 191.698 3340.6 0.175467 -1.21311 200.657 12440.5 0.540452 -0.851265 225.502 13419.5 0.296253 -1.11408 246.584 23088.6 0.59658 -0.81064 277.755 24359.4 0.370266 -1.04683 220.088 25100 0.667678 -0.70093 260.593 26499.9 0.386185 -1.02156 432.559 6900.28 0.207823 -1.02198 438.311 7436.22 0.16957 -1.17623 213.172 25642.6 0.682544 -0.67105 255.731 27164.1 0.386303 -1.01289
1.44176 52714.3 8.78577 1.30965 2513.07 1.13973 1.23431 1.1451 1.16685 1.15484 1.17024 1.07606 1.18525 122.828 6614.55 0.439328 -0.926373 142.731 6679.28 0.15118 -1.1071 186.704 3153.52 0.292352 -1.06444 190.666 3285.6 0.166989 -1.14728 198.652 12548.2 0.553357 -0.823125 220.137 12403.5 0.319838 -1.02337 243.103 23501.5 0.655871 -0.704316 268.9 23102.2 0.459466 -0.904256 219.888 25179.5 0.714547 -0.600594 250.213 25315.4 0.465158 -0.87633 434.406 7565.61 0.216965 -1.15203 432.256 7669.15 0.219833 -1.23177 207.589 26099.1 0.739466 -0.545296 244.007 26098.4 0.464272 -0.867604
1.44935 42310 5.84603 1.41269 1531.6 1.13931 1.42056 1.3395 1.33916 1.31162 1.33311 1.2002 1.34706 123.884 6728.45 0.435876 -0.930732 149.773 7111.25 0.00976777 -1.20472 185.949 3327.02 0.299346 -1.1141 200.612 2970.18 0.0659356 -1.18238 204.932 12770.8 0.487754 -0.944736 233.145 12175.6 0.146992 -1.07901 245.986 22675 0.614844 -0.73144 285.927 22738.9 0.323474 -0.961067 221.125 24627.6 0.671352 -0.642467 267.607 25328.4 0.316002 -0.960719 428.846 7260.21 0.318204 -1.06257 432.926 7546.05 0.261436 -1.14431 208.966 25585.3 0.695871 -0.596469 260.557 26391.7 0.310832 -0.959742
1.30115 72848.3 20.7612 1.34292 2199.76 1.29597 1.68036 1.51446 1.55042 1.51434 1.56496 1.36836 1.59609 107.32 6538.11 0.662366 -0.66895 147.001 7018.15 0.153192 -1.1587 183.636 3204.54 0.336332 -1.05107 195.235 3606.6 0.0711519 -1.24858 187.293 11985.7 0.679177 -0.638241 217.962 12120.2 0.337244 -0.972076 221.671 21136.2 0.827315 -0.35365 271.114 23634.9 0.454354 -0.928145 189.407 22502.6 0.941581 -0.114484 254.536 25631.8 0.458679 -0.899637 425.757 7158.53 0.338201 -1.03576 439.002 7761.13 0.100103 -1.2059 172.189 23113.4 1.00186 0.0324886 247.492 26528.3 0.458101 -0.8888
1.35959 69036.1 11.393 1.36068 2526.92 1.1822 1.5435 1.43923 1.43891 1.4008 1.43383 1.23562 1.44987 116.939 6421.21 0.552285 -0.794019 143.478 6954.28 0.177065 -1.17238 184.066 3214.33 0.328063 -1.04749 195.228 3314.82 0.117911 -1.22548 191.478 12123.7 0.639544 -0.706396 224.555 12850.7 0.231185 -1.11824 229.095 21936.6 0.776849 -0.471061 280.693 24347.1 0.338912 -1.03824 201.176 23430.3 0.860818 -0.298663 261.976 26746.8 0.35737 -1.02277 428.908 7379.38 0.293731 -1.10531 437.251 7619.72 0.172111 -1.20178 189.685 24047.4 0.889952 -0.225868 255.669 27589.5 0.361798 -1.01656
1.47633 21573 6.58412 1.42898 1199.54 1.15302 1.16738 1.10731 1.12253 1.08675 1.09793 0.96436 1.10081 136.497 6150.58 0.283654 -0.940722 155.012 6717.48 -0.0758663 -1.15939 185.571 3086.24 0.390332 -0.998488 196.136 3164.58 0.0244399 -1.18598 203.843 11504.2 0.528404 -0.806331 232.429 11716 0.256906 -0.990798 243.06 21035.1 0.689176 -0.572605 288.917 23013.1 0.358711 -1.02161 222.569 22772.9 0.704957 -0.509914 269.796 25750.4 0.342076 -0.992897 426.378 7160.96 0.332608 -1.04567 443.257 7251.76 0.0995931 -1.20802 217.07 23297.3 0.703557 -0.49619 264.706 26527.6 0.336134 -0.986282
1.47023 27845.7 3.83011 1.36609 714.683 1.08929 1.46001 1.3961 1.38818 1.38663 1.40998 1.3337 1.41821 128.543 7041.49 0.392433 -1.05428 146.093 6905.83 0.0569802 -1.28079 191.372 3411.2 0.162155 -1.17831 198.323 2900.82 -0.0372278 -1.04667 210.402 12785.9 0.386876 -1.02113 229.796 13569.8 0.199316 -1.09905 254.449 22915.5 0.524712 -0.833043 272.086 22439.7 0.355971 -0.916705 227.427 25286.7 0.587596 -0.766493 254.39 24633.8 0.369066 -0.924222 429.284 7279.45 0.267168 -1.14108 428.798 6754.41 0.381936 -0.906227 218.565 26083.2 0.604494 -0.741094 248.895 25374.8 0.3687 -0.923484
1.39831 58979.9 8.31773 1.39474 2186.27 0.915859 1.49202 1.37406 1.40406 1.36847 1.39829 1.23501 1.41088 121.086 6512.11 0.492522 -0.86797 148.848 6937.78 0.0785868 -1.14107 184.726 3251.78 0.323923 -1.07405 193.031 3490.84 0.136919 -1.23312 198.064 12453.2 0.566544 -0.818599 227.571 12199.4 0.239628 -1.04339 235.757 21853.7 0.69533 -0.599201 282.447 23324.6 0.354091 -1.01276 209.145 23589.4 0.765902 -0.473698 264.848 25719.5 0.351941 -0.993217 425.79 7137.5 0.324828 -1.03828 435.926 7611.73 0.130486 -1.23322 198.625 24285.9 0.789148 -0.422339 258.374 26651.9 0.349213 -0.986551
1.40571 73380.6 8.66696 1.37415 1799.24 1.29352 1.65195 1.56563 1.55771 1.5292 1.55471 1.38924 1.56817 119.955 6641.79 0.492613 -0.868229 141.056 7012.3 0.153021 -1.19843 185.707 3265.97 0.305924 -1.09242 193.505 3311.24 0.0404782 -1.23301 197.82 12470.9 0.575824 -0.808085 228.056 13066.5 0.22415 -1.10907 238.528 22517.3 0.679132 -0.659702 282.221 24207.1 0.340865 -1.01692 211.787 24295.7 0.752012 -0.529376 262.734 26744.4 0.355913 -1.00446 430.362 7153.54 0.251861 -1.08039 434.914 7933.79 0.212184 -1.20596 199.425 25125.6 0.78035 -0.466844 254.646 27858 0.358981 -0.997662
1.56215 9615 2.15746 1.36587 644.322 1.01926 0.652139 0.671639 0.689691 0.687328 0.667761 0.6822 0.663498 140.857 5811.05 0.244552 -0.943681 139.446 6540.89 0.195657 -1.1224 184.359 3055.41 0.365002 -0.992557 190.193 3112.79 0.196072 -1.16046 214.015 12186.6 0.384296 -1.03311 223.335 12042.7 0.361942 -1.03559 276.762 25641.9 0.421705 -1.06981 285.552 24810.4 0.377801 -1.12112 259.654 27672.2 0.441311 -1.02491 257.938 28116.1 0.416401 -1.05847 440.49 8351.34 0.0706763 -1.32822 445.017 7815.15 -0.00797626 -1.27095 256.521 28078.7 0.442162 -1.01631 252.43 28811.7 0.42144 -1.04547
